"","Country A","Country B","KL divergence - per capita"
"101","Estonia (C)","Finland (C)","0.191948418823626"
"102","Estonia (C)","France (C)","0.359628153809423"
"103","Estonia (C)","Greece (C)","0.33111578140066"
"104","Estonia (C)","Hungary (C)","0.257461223541784"
"105","Estonia (C)","Italy (C)","0.361621067851989"
"106","Estonia (C)","Lithuania (C)","0.235230326788835"
"107","Estonia (C)","Netherlands (C)","0.355453058743994"
"108","Estonia (C)","Portugal (C)","0.302269913188755"
"109","Estonia (C)","Slovakia (C)","0.266566570688736"
"110","Estonia (C)","Slovenia (C)","0.280417714582582"
"111","Estonia (C)","Spain (C)","0.36851673140354"
"112","Estonia (C)","Switzerland (C)","0.274742678771273"
"113","Estonia (C)","United Kingdom (C)","0.138825664987479"
"114","Estonia (C)","Belgium, 2006","0.601969751899369"
"115","Estonia (C)","Belgium, 2010","0.691068331646753"
"116","Estonia (C)","China (Shanghai), 2018","0.966226572687271"
"117","Estonia (C)","France, 2012","0.472903288563998"
"118","Estonia (C)","Hong Kong, 2016","0.66609402289063"
"119","Estonia (C)","Peru, 2011","3.51801040162522"
"120","Estonia (C)","Zimbabwe, 2013","1.63744213180404"
"121","Estonia (C)","Italy (P)","0.747521237466091"
"122","Estonia (C)","Germany (P)","0.776814136243284"
"123","Estonia (C)","Luxembourg (P)","0.701496415347054"
"124","Estonia (C)","Netherlands (P)","1.37206877374376"
"125","Estonia (C)","Poland (P)","0.442777740341891"
"126","Estonia (C)","United Kingdom (P)","0.601607481951442"
"127","Estonia (C)","Finland (P)","0.90147164734326"
"128","Estonia (C)","Belgium (P)","0.762331549955379"
"129","Finland (C)","Austria (C)","0.220299772025903"
"130","Finland (C)","Croatia (C)","0.323359748934176"
"131","Finland (C)","Denmark (C)","0.209479388101191"
"132","Finland (C)","Estonia (C)","0.191948418823626"
"133","Finland (C)","Finland (C)","0"
"134","Finland (C)","France (C)","0.194565252861859"
"135","Finland (C)","Greece (C)","0.308531185366765"
"136","Finland (C)","Hungary (C)","0.234032443621414"
"137","Finland (C)","Italy (C)","0.333567519432721"
"138","Finland (C)","Lithuania (C)","0.340291190439565"
"139","Finland (C)","Netherlands (C)","0.295935652033562"
"140","Finland (C)","Portugal (C)","0.164252644160874"
"141","Finland (C)","Slovakia (C)","0.259831188389049"
"142","Finland (C)","Slovenia (C)","0.211710439526295"
"143","Finland (C)","Spain (C)","0.331435569884401"
"144","Finland (C)","Switzerland (C)","0.294872784117215"
"145","Finland (C)","United Kingdom (C)","0.101282612418744"
"146","Finland (C)","Belgium, 2006","0.422002231945364"
"147","Finland (C)","Belgium, 2010","0.504381143578758"
"148","Finland (C)","China (Shanghai), 2018","0.930802366324739"
"149","Finland (C)","France, 2012","0.401981422198059"
"150","Finland (C)","Hong Kong, 2016","0.689282626521472"
"151","Finland (C)","Peru, 2011","3.63117260256507"
"152","Finland (C)","Zimbabwe, 2013","1.33290449863917"
"153","Finland (C)","Italy (P)","0.870181350478244"
"154","Finland (C)","Germany (P)","0.710195880191645"
"155","Finland (C)","Luxembourg (P)","0.391180189538552"
"156","Finland (C)","Netherlands (P)","0.994142294290368"
"157","Finland (C)","Poland (P)","0.377928608899637"
"158","Finland (C)","United Kingdom (P)","0.402981700293235"
"159","Finland (C)","Finland (P)","0.595930089081392"
"160","Finland (C)","Belgium (P)","0.575834604699381"
