"","Country A","Country B","KL divergence - per capita"
"101","Estonia (C)","Finland (C)","0.117050644519454"
"102","Estonia (C)","France (C)","0.222301693543382"
"103","Estonia (C)","Greece (C)","0.160687696519783"
"104","Estonia (C)","Hungary (C)","0.131238428117947"
"105","Estonia (C)","Italy (C)","0.233932054088816"
"106","Estonia (C)","Lithuania (C)","0.0946998843079117"
"107","Estonia (C)","Netherlands (C)","0.296151185940839"
"108","Estonia (C)","Portugal (C)","0.147148153474238"
"109","Estonia (C)","Slovakia (C)","0.143570777185897"
"110","Estonia (C)","Slovenia (C)","0.142133539987648"
"111","Estonia (C)","Spain (C)","0.227363168313284"
"112","Estonia (C)","Switzerland (C)","0.166714530234807"
"113","Estonia (C)","United Kingdom (C)","0.10317166920342"
"114","Estonia (C)","Belgium, 2006","0.477843852562349"
"115","Estonia (C)","Belgium, 2010","0.710178742367313"
"116","Estonia (C)","China (Shanghai), 2018","1.09952682783462"
"117","Estonia (C)","France, 2012","0.560321940114987"
"118","Estonia (C)","Hong Kong, 2016","0.803142829607215"
"119","Estonia (C)","Peru, 2011","3.66118913563975"
"120","Estonia (C)","Zimbabwe, 2013","1.78121981891528"
"121","Estonia (C)","Italy (P)","0.708143314362952"
"122","Estonia (C)","Germany (P)","0.766106844347368"
"123","Estonia (C)","Luxembourg (P)","0.703853149725861"
"124","Estonia (C)","Netherlands (P)","1.42020591718792"
"125","Estonia (C)","Poland (P)","0.481355979986076"
"126","Estonia (C)","United Kingdom (P)","0.629828872315485"
"127","Estonia (C)","Finland (P)","1.00226455209952"
"128","Estonia (C)","Belgium (P)","0.842210128041944"
"129","Finland (C)","Austria (C)","0.121547055085173"
"130","Finland (C)","Croatia (C)","0.163579215845859"
"131","Finland (C)","Denmark (C)","0.12154555636819"
"132","Finland (C)","Estonia (C)","0.117050644519454"
"133","Finland (C)","Finland (C)","0"
"134","Finland (C)","France (C)","0.121430625874128"
"135","Finland (C)","Greece (C)","0.144121016021954"
"136","Finland (C)","Hungary (C)","0.135672839214523"
"137","Finland (C)","Italy (C)","0.173403915536098"
"138","Finland (C)","Lithuania (C)","0.106274515922192"
"139","Finland (C)","Netherlands (C)","0.147642972557711"
"140","Finland (C)","Portugal (C)","0.0746986358409217"
"141","Finland (C)","Slovakia (C)","0.129807969165713"
"142","Finland (C)","Slovenia (C)","0.110565102345756"
"143","Finland (C)","Spain (C)","0.220933628197069"
"144","Finland (C)","Switzerland (C)","0.124294438856482"
"145","Finland (C)","United Kingdom (C)","0.0583632110544964"
"146","Finland (C)","Belgium, 2006","0.364003106234353"
"147","Finland (C)","Belgium, 2010","0.631826504627145"
"148","Finland (C)","China (Shanghai), 2018","1.25074524522087"
"149","Finland (C)","France, 2012","0.498386207561646"
"150","Finland (C)","Hong Kong, 2016","0.917737312151437"
"151","Finland (C)","Peru, 2011","3.76538494466992"
"152","Finland (C)","Zimbabwe, 2013","1.57386518444912"
"153","Finland (C)","Italy (P)","0.804751369923749"
"154","Finland (C)","Germany (P)","0.843138011831992"
"155","Finland (C)","Luxembourg (P)","0.479432684493882"
"156","Finland (C)","Netherlands (P)","1.16901366372439"
"157","Finland (C)","Poland (P)","0.428483337431792"
"158","Finland (C)","United Kingdom (P)","0.449956929543866"
"159","Finland (C)","Finland (P)","0.933102136060913"
"160","Finland (C)","Belgium (P)","0.785817146372463"
"161","France (C)","Austria (C)","0.159726387025557"
"162","France (C)","Croatia (C)","0.139777669432922"
"163","France (C)","Denmark (C)","0.237240289792649"
"164","France (C)","Estonia (C)","0.222301693543382"
"165","France (C)","Finland (C)","0.121430625874128"
"166","France (C)","France (C)","0"
"167","France (C)","Greece (C)","0.133777358888285"
"168","France (C)","Hungary (C)","0.145483317229265"
"169","France (C)","Italy (C)","0.170517843782845"
"170","France (C)","Lithuania (C)","0.124027861648893"
"171","France (C)","Netherlands (C)","0.212834726490709"
"172","France (C)","Portugal (C)","0.0798953991534268"
"173","France (C)","Slovakia (C)","0.135618962603075"
"174","France (C)","Slovenia (C)","0.150884592255832"
"175","France (C)","Spain (C)","0.183700846888729"
"176","France (C)","Switzerland (C)","0.155538117769115"
"177","France (C)","United Kingdom (C)","0.130748862519617"
"178","France (C)","Belgium, 2006","0.214623146899774"
"179","France (C)","Belgium, 2010","0.512014691623884"
"180","France (C)","China (Shanghai), 2018","1.18292152354013"
"181","France (C)","France, 2012","0.459869102868591"
"182","France (C)","Hong Kong, 2016","1.04233614777112"
"183","France (C)","Peru, 2011","3.52966609084937"
"184","France (C)","Zimbabwe, 2013","1.51055901599537"
"185","France (C)","Italy (P)","0.683270333664372"
"186","France (C)","Germany (P)","0.76230020560373"
"187","France (C)","Luxembourg (P)","0.606414044422671"
"188","France (C)","Netherlands (P)","1.3794505381408"
"189","France (C)","Poland (P)","0.387654708552577"
"190","France (C)","United Kingdom (P)","0.493854537428128"
"191","France (C)","Finland (P)","0.957529359509157"
"192","France (C)","Belgium (P)","0.604405578701578"
"193","Greece (C)","Austria (C)","0.198966471048681"
"194","Greece (C)","Croatia (C)","0.148258548315735"
"195","Greece (C)","Denmark (C)","0.238864047764957"
"196","Greece (C)","Estonia (C)","0.160687696519783"
"197","Greece (C)","Finland (C)","0.144121016021954"
"198","Greece (C)","France (C)","0.133777358888285"
"199","Greece (C)","Greece (C)","0"
"200","Greece (C)","Hungary (C)","0.100383610621748"
