"","Country A","Country B","KL divergence - per capita"
"99","Estonia (C)","Denmark (C)","0.0479159967910402"
"100","Estonia (C)","Estonia (C)","0"
"101","Estonia (C)","Finland (C)","0.0663799137329961"
"102","Estonia (C)","France (C)","0.0558823379644101"
"103","Estonia (C)","Greece (C)","0.0737839335424532"
"104","Estonia (C)","Hungary (C)","0.0509608740081193"
"105","Estonia (C)","Italy (C)","0.115860027189052"
"106","Estonia (C)","Lithuania (C)","0.0432690380123106"
"107","Estonia (C)","Netherlands (C)","0.151324555210357"
"108","Estonia (C)","Portugal (C)","0.0956115817171933"
"109","Estonia (C)","Slovakia (C)","0.0498070321496374"
"110","Estonia (C)","Slovenia (C)","0.0473251130476228"
"111","Estonia (C)","Spain (C)","0.109169201112346"
"112","Estonia (C)","Switzerland (C)","0.0437875374295833"
"113","Estonia (C)","United Kingdom (C)","0.0365450442887166"
"114","Estonia (C)","Belgium, 2006","0.16295285028947"
"115","Estonia (C)","Belgium, 2010","0.156517647680686"
"116","Estonia (C)","China (Shanghai), 2018","0.515004619023268"
"117","Estonia (C)","France, 2012","0.117022864036259"
"118","Estonia (C)","Hong Kong, 2016","0.175149188519444"
"119","Estonia (C)","Peru, 2011","0.458701250097614"
"120","Estonia (C)","Zimbabwe, 2013","0.423178660466409"
"121","Estonia (C)","Italy (P)","0.182160507875481"
"122","Estonia (C)","Germany (P)","0.109546004476011"
"123","Estonia (C)","Luxembourg (P)","0.132519393166171"
"124","Estonia (C)","Netherlands (P)","0.717320197366197"
"125","Estonia (C)","Poland (P)","0.187783177698832"
"126","Estonia (C)","United Kingdom (P)","0.112288457705733"
"127","Estonia (C)","Finland (P)","0.126877148459445"
"128","Estonia (C)","Belgium (P)","0.216359388324755"
"129","Finland (C)","Austria (C)","0.0724023722391282"
"130","Finland (C)","Croatia (C)","0.141993400560638"
"131","Finland (C)","Denmark (C)","0.0561258448631647"
"132","Finland (C)","Estonia (C)","0.0663799137329961"
"133","Finland (C)","Finland (C)","0"
"134","Finland (C)","France (C)","0.0804310864615267"
"135","Finland (C)","Greece (C)","0.152741774450781"
"136","Finland (C)","Hungary (C)","0.111155063176493"
"137","Finland (C)","Italy (C)","0.218571922758381"
"138","Finland (C)","Lithuania (C)","0.049975851789467"
"139","Finland (C)","Netherlands (C)","0.152332685793991"
