cont_id,cnt_outside_other,cnt_other_house,cnt_worship,cnt_supermarket,cnt_shop,cnt_gender_all,frequency_multi_all
101584002,NA,NA,NA,NA,NA,NA,NA
101584003,NA,NA,NA,NA,NA,NA,NA
101584004,NA,NA,NA,NA,NA,NA,NA
101584005,NA,NA,NA,NA,NA,NA,NA
101584006,NA,NA,NA,NA,NA,NA,NA
101584007,NA,NA,NA,NA,NA,NA,NA
101584008,NA,NA,NA,NA,NA,NA,NA
101584009,NA,NA,NA,NA,NA,NA,NA
101584010,NA,NA,NA,NA,NA,NA,NA
101584011,NA,NA,NA,NA,NA,NA,NA
101584012,NA,NA,NA,NA,NA,NA,NA
101584013,NA,NA,NA,NA,NA,NA,NA
101584014,NA,NA,NA,NA,NA,NA,NA
101584015,NA,NA,NA,NA,NA,NA,NA
101584016,NA,NA,NA,NA,NA,NA,NA
101584017,NA,NA,NA,NA,NA,NA,NA
101584018,NA,NA,NA,NA,NA,NA,NA
101584019,NA,NA,NA,NA,NA,NA,NA
101584020,NA,NA,NA,NA,NA,NA,NA
101584021,NA,NA,NA,NA,NA,NA,NA
101584022,NA,NA,NA,NA,NA,NA,NA
101584023,NA,NA,NA,NA,NA,NA,NA
101584024,NA,NA,NA,NA,NA,NA,NA
101584025,NA,NA,NA,NA,NA,NA,NA
101584026,NA,NA,NA,NA,NA,NA,NA
101584027,NA,NA,NA,NA,NA,NA,NA
101584028,NA,NA,NA,NA,NA,NA,NA
101584029,NA,NA,NA,NA,NA,NA,NA
101584030,NA,NA,NA,NA,NA,NA,NA
101585001,TRUE,TRUE,FALSE,TRUE,TRUE,male,1-2 days
101585002,TRUE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101585003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101585004,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
101585005,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
101585006,FALSE,FALSE,FALSE,FALSE,FALSE,male,2-3 weeks
101585007,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101585008,NA,NA,NA,NA,NA,NA,NA
101585009,NA,NA,NA,NA,NA,NA,NA
101585010,NA,NA,NA,NA,NA,NA,NA
101585011,NA,NA,NA,NA,NA,NA,NA
101585012,NA,NA,NA,NA,NA,NA,NA
101585013,NA,NA,NA,NA,NA,NA,NA
101585014,NA,NA,NA,NA,NA,NA,NA
101585015,NA,NA,NA,NA,NA,NA,NA
101585016,NA,NA,NA,NA,NA,NA,NA
101586001,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101587001,FALSE,FALSE,FALSE,FALSE,FALSE,female,1-2 days
101587002,FALSE,FALSE,FALSE,TRUE,FALSE,female,3-7 days
101587003,FALSE,FALSE,FALSE,FALSE,FALSE,male,1-2 days
101587004,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101587005,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101587006,FALSE,FALSE,FALSE,FALSE,FALSE,male,never met
101588001,TRUE,FALSE,FALSE,TRUE,FALSE,female,1-2 days
101588002,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101588003,FALSE,FALSE,FALSE,FALSE,FALSE,male,3-7 days
101588004,FALSE,FALSE,FALSE,FALSE,FALSE,female,2-3 weeks
101588005,FALSE,FALSE,FALSE,FALSE,FALSE,female,3-7 days
101588006,FALSE,FALSE,FALSE,TRUE,FALSE,female,1 month
101588007,NA,NA,NA,NA,NA,NA,NA
101588008,NA,NA,NA,NA,NA,NA,NA
101588009,NA,NA,NA,NA,NA,NA,NA
101588010,NA,NA,NA,NA,NA,NA,NA
101588011,NA,NA,NA,NA,NA,NA,NA
101588012,NA,NA,NA,NA,NA,NA,NA
101588013,NA,NA,NA,NA,NA,NA,NA
101588014,NA,NA,NA,NA,NA,NA,NA
101588015,NA,NA,NA,NA,NA,NA,NA
101588016,NA,NA,NA,NA,NA,NA,NA
101588017,NA,NA,NA,NA,NA,NA,NA
101588018,NA,NA,NA,NA,NA,NA,NA
101588019,NA,NA,NA,NA,NA,NA,NA
101588020,NA,NA,NA,NA,NA,NA,NA
101588021,NA,NA,NA,NA,NA,NA,NA
101588022,NA,NA,NA,NA,NA,NA,NA
101588023,NA,NA,NA,NA,NA,NA,NA
101588024,NA,NA,NA,NA,NA,NA,NA
101588025,NA,NA,NA,NA,NA,NA,NA
101588026,NA,NA,NA,NA,NA,NA,NA
101588027,NA,NA,NA,NA,NA,NA,NA
101588028,NA,NA,NA,NA,NA,NA,NA
101588029,NA,NA,NA,NA,NA,NA,NA
101588030,NA,NA,NA,NA,NA,NA,NA
101588031,NA,NA,NA,NA,NA,NA,NA
101588032,NA,NA,NA,NA,NA,NA,NA
101588033,NA,NA,NA,NA,NA,NA,NA
101588034,NA,NA,NA,NA,NA,NA,NA
101588035,NA,NA,NA,NA,NA,NA,NA
101588036,NA,NA,NA,NA,NA,NA,NA
101588037,NA,NA,NA,NA,NA,NA,NA
101588038,NA,NA,NA,NA,NA,NA,NA
101588039,NA,NA,NA,NA,NA,NA,NA
101588040,NA,NA,NA,NA,NA,NA,NA
101588041,NA,NA,NA,NA,NA,NA,NA
101588042,NA,NA,NA,NA,NA,NA,NA
