"part_id","cnt_age_exact","cnt_age_est_min","cnt_age_est_max","cnt_gender","cnt_home","cnt_work","cnt_school","cnt_transport","cnt_leisure","cnt_otherplace","frequency_multi","phys_contact","duration_multi","cont_id"
2032,32,32,32,NA,"True","False","False","False","False","False",NA,1,4,"2032_outbreak_1"
2032,5,5,5,NA,"True","False","False","False","False","False",NA,1,5,"2032_outbreak_2"
2032,60,60,60,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2032_outbreak_3"
2033,74,74,74,NA,"True","False","False","False","False","False",NA,2,3,"2033_outbreak_1"
2034,45,45,45,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2034_outbreak_1"
2034,40,40,40,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2034_outbreak_2"
2034,40,40,40,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2034_outbreak_3"
2034,40,40,40,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2034_outbreak_4"
2035,16,0,90,NA,"True","False","False","False","False","False",NA,1,NA,"2035_outbreak_1"
2036,30,30,30,NA,"True","False","False","False","False","False",NA,2,NA,"2036_outbreak_1"
2037,44,44,44,NA,NA,NA,"False",NA,NA,NA,NA,1,5,"2037_outbreak_1"
2037,19,19,19,NA,NA,NA,"False",NA,NA,NA,NA,1,4,"2037_outbreak_2"
2037,50,50,50,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2037_outbreak_3"
2037,65,65,65,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2037_outbreak_4"
2037,55,55,55,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2037_outbreak_5"
2038,60,60,60,NA,"False","False","False","False","False","True",NA,2,1,"2038_outbreak_1"
2038,72,72,72,NA,"True","False","False","False","False","False",NA,1,3,"2038_outbreak_2"
2039,74,0,90,NA,"False","False","False","False","False","True",NA,NA,NA,"2039_outbreak_1"
2040,10,10,10,NA,"True","False","False","False","False","False",NA,1,NA,"2040_outbreak_1"
2040,36,36,36,NA,"True","False","False","False","False","False",NA,1,NA,"2040_outbreak_2"
2041,40,40,40,NA,"True","False","False","False","False","False",NA,1,1,"2041_outbreak_1"
2041,2,2,2,NA,"True","False","False","False","False","False",NA,1,2,"2041_outbreak_2"
2042,5,5,5,NA,"True","False","False","False","False","False",NA,1,5,"2042_outbreak_1"
2042,35,35,35,NA,"True","False","False","False","False","False",NA,1,5,"2042_outbreak_2"
2042,65,65,65,NA,"True","False","False","False","False","False",NA,2,1,"2042_outbreak_3"
2042,64,64,64,NA,"True","False","False","False","False","False",NA,1,3,"2042_outbreak_4"
2043,67,0,90,NA,"True","False","False","False","False","False",NA,2,5,"2043_outbreak_1"
2043,20,0,90,NA,"True","False","False","False","False","False",NA,2,4,"2043_outbreak_2"
2043,2,0,90,NA,"True","False","False","False","False","False",NA,2,4,"2043_outbreak_3"
2043,42,0,90,NA,"True","False","False","False","False","False",NA,2,4,"2043_outbreak_4"
2043,61,0,90,NA,"True","False","False","False","False","False",NA,2,4,"2043_outbreak_5"
2044,57,57,57,NA,"True","False","False","False","False","False",NA,1,3,"2044_outbreak_1"
2045,32,32,32,NA,"True","False","False","False","False","False",NA,1,4,"2045_outbreak_1"
2045,3,3,3,NA,"True","False","False","False","False","False",NA,1,4,"2045_outbreak_2"
2045,66,66,66,NA,"True","False","False","False","False","False",NA,2,4,"2045_outbreak_3"
2046,25,25,29,NA,"True","False","False","False","False","False",NA,1,3,"2046_outbreak_1"
2046,5,5,5,NA,"True","False","False","False","False","False",NA,1,3,"2046_outbreak_2"
2046,59,50,60,NA,"True","False","False","False","False","False",NA,2,4,"2046_outbreak_3"
2046,52,50,60,NA,"True","False","False","False","False","False",NA,2,4,"2046_outbreak_4"
2047,44,44,44,NA,"True","False","False","False","False","False",NA,1,5,"2047_outbreak_1"
2047,33,33,33,NA,"True","False","False","False","False","False",NA,2,5,"2047_outbreak_2"
2047,21,21,21,NA,"True","False","False","False","False","False",NA,2,5,"2047_outbreak_3"
2048,52,50,55,NA,"True","False","False","False","False","False",NA,1,3,"2048_outbreak_1"
2048,25,25,30,NA,"True","False","False","False","False","False",NA,2,3,"2048_outbreak_2"
2048,30,25,30,NA,"True","False","False","False","False","False",NA,2,3,"2048_outbreak_3"
2048,3,1,10,NA,"True","False","False","False","False","False",NA,1,3,"2048_outbreak_4"
2049,50,50,50,NA,"True","False","False","False","False","False",NA,1,1,"2049_outbreak_1"
2049,49,49,49,NA,"True","False","False","False","False","False",NA,1,1,"2049_outbreak_2"
2050,49,40,50,NA,"False","False","False","False","False","True",NA,2,1,"2050_outbreak_1"
2050,44,40,50,NA,"False","False","False","False","False","True",NA,2,1,"2050_outbreak_2"
2050,50,40,50,NA,"False","False","False","False","False","True",NA,2,1,"2050_outbreak_3"
2050,44,40,50,NA,"False","False","False","False","False","True",NA,2,1,"2050_outbreak_4"
2050,65,60,70,NA,"True","False","False","False","False","False",NA,1,4,"2050_outbreak_5"
2050,61,60,70,NA,"True","False","False","False","False","False",NA,1,4,"2050_outbreak_6"
2051,31,31,31,NA,"True","False","False","False","False","False",NA,1,5,"2051_outbreak_1"
2051,3,3,3,NA,"True","False","False","False","False","False",NA,1,5,"2051_outbreak_2"
2052,30,30,30,NA,"True","False","False","False","False","False",NA,1,5,"2052_outbreak_1"
2052,64,60,70,NA,"True","False","False","False","False","False",NA,2,3,"2052_outbreak_2"
2052,69,60,70,NA,"True","False","False","False","False","False",NA,2,3,"2052_outbreak_3"
2052,66,60,70,NA,"True","False","False","False","False","False",NA,2,3,"2052_outbreak_4"
2052,61,60,70,NA,"True","False","False","False","False","False",NA,2,3,"2052_outbreak_5"
2054,34,34,34,NA,"True","False","False","False","False","False",NA,2,NA,"2054_outbreak_1"
2054,10,10,10,NA,"True","False","False","False","False","False",NA,1,4,"2054_outbreak_2"
2055,36,36,36,NA,NA,NA,"False",NA,NA,NA,NA,2,NA,"2055_outbreak_1"
