"part_id","hh_id","part_age","part_gender"
1,"Mo08HH1",8,"F"
2,"Mo08HH2",6,"M"
3,"Mo08HH3",4,"F"
4,"Mo08HH4",1,"M"
5,"Mo08HH5",4,"M"
6,"Mo08HH6",7,"M"
7,"Mo08HH7",4,"M"
8,"Mo08HH8",11,"M"
9,"Mo08HH9",2,"M"
10,"Mo08HH10",3,"F"
11,"Mo08HH11",2,"M"
12,"Mo08HH12",0,"F"
13,"Mo08HH13",5,"M"
14,"Mo08HH14",1,"M"
15,"Mo08HH15",0,"F"
16,"Mo08HH16",8,"M"
17,"Mo08HH17",5,"M"
18,"Mo08HH18",2,"F"
19,"Mo08HH19",0,"M"
20,"Mo08HH20",0,"M"
21,"Mo08HH21",4,"F"
22,"Mo08HH22",3,"M"
23,"Mo08HH23",11,"F"
24,"Mo08HH24",11,"M"
25,"Mo08HH25",10,"M"
26,"Mo08HH26",6,"M"
27,"Mo08HH27",5,"F"
28,"Mo08HH28",7,"F"
29,"Mo08HH29",7,"M"
30,"Mo08HH30",5,"M"
31,"Mo08HH31",2,"F"
32,"Mo08HH32",2,"M"
33,"Mo08HH33",6,"M"
34,"Mo08HH34",4,"M"
35,"Mo08HH35",4,"F"
36,"Mo08HH36",10,"M"
37,"Mo08HH37",16,"M"
38,"Mo08HH38",5,"F"
39,"Mo08HH39",15,"M"
40,"Mo08HH40",5,"F"
41,"Mo08HH41",6,"M"
42,"Mo08HH42",12,"F"
43,"Mo08HH43",8,"M"
44,"Mo08HH44",16,"F"
45,"Mo08HH45",14,"M"
46,"Mo08HH46",13,"F"
47,"Mo08HH47",14,"F"
48,"Mo08HH48",16,"M"
49,"Mo08HH49",16,"M"
50,"Mo08HH50",11,"M"
51,"Mo08HH51",6,"M"
52,"Mo08HH52",13,"F"
53,"Mo08HH53",9,"M"
54,"Mo08HH54",13,"F"
55,"Mo08HH55",14,"M"
56,"Mo08HH56",17,"F"
57,"Mo08HH57",9,"F"
58,"Mo08HH58",17,"F"
59,"Mo08HH59",12,"M"
60,"Mo08HH60",16,"M"
61,"Mo08HH61",12,"F"
62,"Mo08HH62",16,"M"
63,"Mo08HH63",15,"M"
64,"Mo08HH64",17,"F"
65,"Mo08HH65",12,"M"
66,"Mo08HH66",12,"F"
67,"Mo08HH67",14,"F"
68,"Mo08HH68",14,"F"
69,"Mo08HH69",16,"M"
70,"Mo08HH70",15,"F"
71,"Mo08HH71",16,"F"
72,"Mo08HH72",16,"F"
73,"Mo08HH73",7,"F"
74,"Mo08HH74",13,"M"
75,"Mo08HH75",15,"M"
76,"Mo08HH76",7,"F"
77,"Mo08HH77",14,"F"
78,"Mo08HH78",10,"F"
79,"Mo08HH79",14,"M"
80,"Mo08HH80",16,"M"
81,"Mo08HH81",8,"M"
82,"Mo08HH82",17,"M"
83,"Mo08HH83",10,"M"
84,"Mo08HH84",12,"M"
85,"Mo08HH85",NA,""
86,"Mo08HH86",12,"F"
87,"Mo08HH87",7,"M"
88,"Mo08HH88",16,"M"
89,"Mo08HH89",14,"M"
90,"Mo08HH90",13,"F"
91,"Mo08HH91",17,"M"
92,"Mo08HH92",11,"M"
93,"Mo08HH93",9,"F"
94,"Mo08HH94",2,"F"
95,"Mo08HH95",4,"M"
96,"Mo08HH96",9,"F"
97,"Mo08HH97",1,"M"
98,"Mo08HH98",9,"F"
99,"Mo08HH99",3,"F"
100,"Mo08HH100",11,"M"
101,"Mo08HH101",1,"F"
102,"Mo08HH102",1,"M"
103,"Mo08HH103",0,"M"
104,"Mo08HH104",9,"M"
105,"Mo08HH105",9,"M"
106,"Mo08HH106",11,"M"
107,"Mo08HH107",7,"F"
108,"Mo08HH108",2,"M"
109,"Mo08HH109",5,"M"
110,"Mo08HH110",1,"M"
111,"Mo08HH111",4,"F"
112,"Mo08HH112",0,"M"
113,"Mo08HH113",2,"F"
114,"Mo08HH114",8,"F"
115,"Mo08HH115",10,"M"
116,"Mo08HH116",1,"F"
117,"Mo08HH117",9,"F"
118,"Mo08HH118",3,"M"
119,"Mo08HH119",11,"F"
120,"Mo08HH120",7,"F"
121,"Mo08HH121",4,"M"
122,"Mo08HH122",4,"M"
123,"Mo08HH123",0,"M"
124,"Mo08HH124",11,"F"
125,"Mo08HH125",3,"M"
126,"Mo08HH126",2,"M"
127,"Mo08HH127",3,"M"
128,"Mo08HH128",5,"M"
129,"Mo08HH129",9,"F"
130,"Mo08HH130",0,"M"
131,"Mo08HH131",3,"F"
132,"Mo08HH132",9,"M"
133,"Mo08HH133",1,"F"
134,"Mo08HH134",0,"M"
135,"Mo08HH135",1,"M"
136,"Mo08HH136",3,"M"
137,"Mo08HH137",4,"M"
138,"Mo08HH138",11,"F"
139,"Mo08HH139",4,"F"
140,"Mo08HH140",4,"F"
141,"Mo08HH141",5,"M"
142,"Mo08HH142",7,"F"
143,"Mo08HH143",7,"M"
144,"Mo08HH144",9,"F"
145,"Mo08HH145",6,"M"
146,"Mo08HH146",3,"M"
147,"Mo08HH147",7,"F"
148,"Mo08HH148",11,"M"
149,"Mo08HH149",5,"M"
150,"Mo08HH150",11,"F"
151,"Mo08HH151",3,"F"
152,"Mo08HH152",9,"M"
153,"Mo08HH153",4,"F"
154,"Mo08HH154",2,"M"
155,"Mo08HH155",0,"M"
156,"Mo08HH156",9,"F"
157,"Mo08HH157",0,"M"
158,"Mo08HH158",1,"F"
159,"Mo08HH159",4,"M"
160,"Mo08HH160",0,"M"
161,"Mo08HH161",2,"M"
162,"Mo08HH162",7,"F"
163,"Mo08HH163",0,"M"
164,"Mo08HH164",1,"F"
165,"Mo08HH165",3,"M"
166,"Mo08HH166",10,"M"
167,"Mo08HH167",7,"F"
168,"Mo08HH168",8,"M"
169,"Mo08HH169",6,"F"
170,"Mo08HH170",7,"F"
171,"Mo08HH171",2,"M"
172,"Mo08HH172",9,"M"
173,"Mo08HH173",3,"F"
174,"Mo08HH174",7,"F"
175,"Mo08HH175",10,"F"
176,"Mo08HH176",4,"M"
177,"Mo08HH177",5,"M"
178,"Mo08HH178",0,"M"
179,"Mo08HH179",3,"M"
180,"Mo08HH180",10,"M"
181,"Mo08HH181",8,"M"
182,"Mo08HH182",2,"M"
183,"Mo08HH183",9,"F"
184,"Mo08HH184",10,"M"
185,"Mo08HH185",2,"M"
186,"Mo08HH186",2,"M"
187,"Mo08HH187",4,"F"
188,"Mo08HH188",4,"M"
189,"Mo08HH189",11,"M"
190,"Mo08HH190",11,"F"
191,"Mo08HH191",1,"F"
192,"Mo08HH192",0,"M"
193,"Mo08HH193",3,"M"
194,"Mo08HH194",5,"F"
195,"Mo08HH195",5,"M"
196,"Mo08HH196",0,"M"
197,"Mo08HH197",5,"F"
198,"Mo08HH198",9,"F"
199,"Mo08HH199",1,"M"
200,"Mo08HH200",8,"M"
201,"Mo08HH201",17,"F"
202,"Mo08HH202",9,"M"
203,"Mo08HH203",14,"F"
204,"Mo08HH204",9,"M"
205,"Mo08HH205",14,"F"
206,"Mo08HH206",14,"M"
207,"Mo08HH207",16,"F"
208,"Mo08HH208",16,"M"
209,"Mo08HH209",16,"F"
210,"Mo08HH210",12,"F"
211,"Mo08HH211",16,"F"
212,"Mo08HH212",17,"M"
213,"Mo08HH213",12,"M"
214,"Mo08HH214",14,"M"
215,"Mo08HH215",17,"F"
216,"Mo08HH216",13,"F"
217,"Mo08HH217",13,"F"
218,"Mo08HH218",9,"F"
219,"Mo08HH219",14,"M"
220,"Mo08HH220",8,"M"
221,"Mo08HH221",6,"M"
222,"Mo08HH222",15,"F"
223,"Mo08HH223",17,"F"
224,"Mo08HH224",17,"M"
225,"Mo08HH225",5,"M"
226,"Mo08HH226",17,"F"
227,"Mo08HH227",17,"F"
228,"Mo08HH228",15,"M"
229,"Mo08HH229",13,"F"
230,"Mo08HH230",14,"F"
231,"Mo08HH231",17,"F"
