"part_id","hh_id","part_age","part_gender"
1,"Mo08HH1",8,"F"
2,"Mo08HH2",10,"M"
3,"Mo08HH3",0,"F"
4,"Mo08HH4",3,"M"
5,"Mo08HH5",1,"M"
6,"Mo08HH6",11,"M"
7,"Mo08HH7",1,"M"
8,"Mo08HH8",11,"M"
9,"Mo08HH9",3,"M"
10,"Mo08HH10",2,"F"
11,"Mo08HH11",3,"M"
12,"Mo08HH12",3,"F"
13,"Mo08HH13",8,"M"
14,"Mo08HH14",3,"M"
15,"Mo08HH15",4,"F"
16,"Mo08HH16",9,"M"
17,"Mo08HH17",5,"M"
18,"Mo08HH18",0,"F"
19,"Mo08HH19",3,"M"
20,"Mo08HH20",0,"M"
21,"Mo08HH21",2,"F"
22,"Mo08HH22",1,"M"
23,"Mo08HH23",5,"F"
24,"Mo08HH24",11,"M"
25,"Mo08HH25",5,"M"
26,"Mo08HH26",8,"M"
27,"Mo08HH27",8,"F"
28,"Mo08HH28",11,"F"
29,"Mo08HH29",10,"M"
30,"Mo08HH30",6,"M"
31,"Mo08HH31",4,"F"
32,"Mo08HH32",0,"M"
33,"Mo08HH33",5,"M"
34,"Mo08HH34",4,"M"
35,"Mo08HH35",1,"F"
36,"Mo08HH36",5,"M"
37,"Mo08HH37",13,"M"
38,"Mo08HH38",7,"F"
39,"Mo08HH39",17,"M"
40,"Mo08HH40",9,"F"
41,"Mo08HH41",10,"M"
42,"Mo08HH42",17,"F"
43,"Mo08HH43",10,"M"
44,"Mo08HH44",14,"F"
45,"Mo08HH45",16,"M"
46,"Mo08HH46",15,"F"
47,"Mo08HH47",17,"F"
48,"Mo08HH48",13,"M"
49,"Mo08HH49",16,"M"
50,"Mo08HH50",11,"M"
51,"Mo08HH51",10,"M"
52,"Mo08HH52",15,"F"
53,"Mo08HH53",5,"M"
54,"Mo08HH54",12,"F"
55,"Mo08HH55",16,"M"
56,"Mo08HH56",15,"F"
57,"Mo08HH57",10,"F"
58,"Mo08HH58",13,"F"
59,"Mo08HH59",13,"M"
60,"Mo08HH60",13,"M"
61,"Mo08HH61",16,"F"
62,"Mo08HH62",12,"M"
63,"Mo08HH63",12,"M"
64,"Mo08HH64",14,"F"
65,"Mo08HH65",15,"M"
66,"Mo08HH66",15,"F"
67,"Mo08HH67",15,"F"
68,"Mo08HH68",16,"F"
69,"Mo08HH69",12,"M"
70,"Mo08HH70",17,"F"
71,"Mo08HH71",17,"F"
72,"Mo08HH72",16,"F"
73,"Mo08HH73",5,"F"
74,"Mo08HH74",14,"M"
75,"Mo08HH75",16,"M"
76,"Mo08HH76",10,"F"
77,"Mo08HH77",13,"F"
78,"Mo08HH78",11,"F"
79,"Mo08HH79",16,"M"
80,"Mo08HH80",17,"M"
81,"Mo08HH81",11,"M"
82,"Mo08HH82",15,"M"
83,"Mo08HH83",11,"M"
84,"Mo08HH84",13,"M"
85,"Mo08HH85",NA,""
86,"Mo08HH86",12,"F"
87,"Mo08HH87",8,"M"
88,"Mo08HH88",16,"M"
89,"Mo08HH89",14,"M"
90,"Mo08HH90",12,"F"
91,"Mo08HH91",16,"M"
92,"Mo08HH92",9,"M"
93,"Mo08HH93",7,"F"
94,"Mo08HH94",0,"F"
95,"Mo08HH95",2,"M"
96,"Mo08HH96",9,"F"
97,"Mo08HH97",3,"M"
98,"Mo08HH98",9,"F"
99,"Mo08HH99",0,"F"
100,"Mo08HH100",8,"M"
101,"Mo08HH101",4,"F"
102,"Mo08HH102",1,"M"
103,"Mo08HH103",0,"M"
104,"Mo08HH104",6,"M"
105,"Mo08HH105",8,"M"
106,"Mo08HH106",11,"M"
107,"Mo08HH107",11,"F"
108,"Mo08HH108",0,"M"
109,"Mo08HH109",7,"M"
110,"Mo08HH110",3,"M"
111,"Mo08HH111",1,"F"
112,"Mo08HH112",3,"M"
113,"Mo08HH113",1,"F"
114,"Mo08HH114",6,"F"
115,"Mo08HH115",7,"M"
116,"Mo08HH116",4,"F"
117,"Mo08HH117",11,"F"
118,"Mo08HH118",3,"M"
119,"Mo08HH119",11,"F"
120,"Mo08HH120",7,"F"
121,"Mo08HH121",4,"M"
122,"Mo08HH122",1,"M"
123,"Mo08HH123",4,"M"
124,"Mo08HH124",10,"F"
125,"Mo08HH125",1,"M"
126,"Mo08HH126",3,"M"
127,"Mo08HH127",4,"M"
128,"Mo08HH128",8,"M"
129,"Mo08HH129",9,"F"
130,"Mo08HH130",0,"M"
131,"Mo08HH131",4,"F"
132,"Mo08HH132",9,"M"
133,"Mo08HH133",2,"F"
134,"Mo08HH134",3,"M"
135,"Mo08HH135",1,"M"
136,"Mo08HH136",2,"M"
137,"Mo08HH137",0,"M"
138,"Mo08HH138",10,"F"
139,"Mo08HH139",1,"F"
140,"Mo08HH140",3,"F"
141,"Mo08HH141",6,"M"
142,"Mo08HH142",7,"F"
143,"Mo08HH143",7,"M"
144,"Mo08HH144",9,"F"
145,"Mo08HH145",6,"M"
146,"Mo08HH146",4,"M"
147,"Mo08HH147",9,"F"
148,"Mo08HH148",10,"M"
149,"Mo08HH149",9,"M"
150,"Mo08HH150",8,"F"
151,"Mo08HH151",2,"F"
152,"Mo08HH152",8,"M"
153,"Mo08HH153",4,"F"
154,"Mo08HH154",4,"M"
155,"Mo08HH155",4,"M"
156,"Mo08HH156",5,"F"
157,"Mo08HH157",2,"M"
158,"Mo08HH158",2,"F"
159,"Mo08HH159",4,"M"
160,"Mo08HH160",0,"M"
161,"Mo08HH161",4,"M"
162,"Mo08HH162",11,"F"
163,"Mo08HH163",0,"M"
164,"Mo08HH164",3,"F"
165,"Mo08HH165",2,"M"
166,"Mo08HH166",5,"M"
167,"Mo08HH167",9,"F"
168,"Mo08HH168",6,"M"
169,"Mo08HH169",11,"F"
170,"Mo08HH170",11,"F"
171,"Mo08HH171",1,"M"
172,"Mo08HH172",10,"M"
173,"Mo08HH173",0,"F"
174,"Mo08HH174",7,"F"
175,"Mo08HH175",5,"F"
176,"Mo08HH176",1,"M"
177,"Mo08HH177",9,"M"
178,"Mo08HH178",1,"M"
179,"Mo08HH179",1,"M"
180,"Mo08HH180",10,"M"
181,"Mo08HH181",11,"M"
182,"Mo08HH182",4,"M"
183,"Mo08HH183",9,"F"
184,"Mo08HH184",9,"M"
185,"Mo08HH185",2,"M"
186,"Mo08HH186",2,"M"
187,"Mo08HH187",0,"F"
188,"Mo08HH188",4,"M"
189,"Mo08HH189",7,"M"
190,"Mo08HH190",10,"F"
191,"Mo08HH191",2,"F"
192,"Mo08HH192",4,"M"
193,"Mo08HH193",3,"M"
194,"Mo08HH194",9,"F"
195,"Mo08HH195",11,"M"
196,"Mo08HH196",1,"M"
