"part_id","hh_id","part_age","part_gender"
1,"Mo08HH1",9,"F"
2,"Mo08HH2",8,"M"
3,"Mo08HH3",2,"F"
4,"Mo08HH4",0,"M"
5,"Mo08HH5",0,"M"
6,"Mo08HH6",6,"M"
7,"Mo08HH7",0,"M"
8,"Mo08HH8",7,"M"
9,"Mo08HH9",0,"M"
10,"Mo08HH10",4,"F"
11,"Mo08HH11",3,"M"
12,"Mo08HH12",2,"F"
13,"Mo08HH13",8,"M"
14,"Mo08HH14",4,"M"
15,"Mo08HH15",2,"F"
16,"Mo08HH16",10,"M"
17,"Mo08HH17",10,"M"
18,"Mo08HH18",3,"F"
19,"Mo08HH19",1,"M"
20,"Mo08HH20",0,"M"
21,"Mo08HH21",0,"F"
22,"Mo08HH22",3,"M"
23,"Mo08HH23",9,"F"
24,"Mo08HH24",9,"M"
25,"Mo08HH25",11,"M"
26,"Mo08HH26",6,"M"
27,"Mo08HH27",8,"F"
28,"Mo08HH28",11,"F"
29,"Mo08HH29",10,"M"
30,"Mo08HH30",11,"M"
31,"Mo08HH31",1,"F"
32,"Mo08HH32",1,"M"
33,"Mo08HH33",8,"M"
34,"Mo08HH34",3,"M"
35,"Mo08HH35",4,"F"
36,"Mo08HH36",11,"M"
37,"Mo08HH37",13,"M"
38,"Mo08HH38",6,"F"
39,"Mo08HH39",16,"M"
40,"Mo08HH40",9,"F"
41,"Mo08HH41",8,"M"
42,"Mo08HH42",17,"F"
43,"Mo08HH43",8,"M"
44,"Mo08HH44",16,"F"
45,"Mo08HH45",15,"M"
46,"Mo08HH46",15,"F"
47,"Mo08HH47",17,"F"
48,"Mo08HH48",14,"M"
49,"Mo08HH49",16,"M"
50,"Mo08HH50",11,"M"
51,"Mo08HH51",9,"M"
52,"Mo08HH52",14,"F"
53,"Mo08HH53",11,"M"
54,"Mo08HH54",17,"F"
55,"Mo08HH55",12,"M"
56,"Mo08HH56",15,"F"
57,"Mo08HH57",11,"F"
58,"Mo08HH58",13,"F"
59,"Mo08HH59",15,"M"
60,"Mo08HH60",14,"M"
61,"Mo08HH61",16,"F"
62,"Mo08HH62",15,"M"
63,"Mo08HH63",14,"M"
64,"Mo08HH64",16,"F"
65,"Mo08HH65",16,"M"
66,"Mo08HH66",13,"F"
67,"Mo08HH67",14,"F"
68,"Mo08HH68",15,"F"
69,"Mo08HH69",14,"M"
70,"Mo08HH70",16,"F"
71,"Mo08HH71",17,"F"
72,"Mo08HH72",13,"F"
73,"Mo08HH73",9,"F"
74,"Mo08HH74",12,"M"
75,"Mo08HH75",12,"M"
76,"Mo08HH76",9,"F"
77,"Mo08HH77",12,"F"
78,"Mo08HH78",5,"F"
79,"Mo08HH79",15,"M"
80,"Mo08HH80",17,"M"
81,"Mo08HH81",6,"M"
82,"Mo08HH82",13,"M"
83,"Mo08HH83",6,"M"
84,"Mo08HH84",16,"M"
85,"Mo08HH85",NA,""
86,"Mo08HH86",12,"F"
87,"Mo08HH87",7,"M"
88,"Mo08HH88",13,"M"
89,"Mo08HH89",14,"M"
90,"Mo08HH90",12,"F"
91,"Mo08HH91",15,"M"
92,"Mo08HH92",9,"M"
