part_id,hh_id,part_age,part_gender
F9_600238,HHF9_600238,3.0,M
F9_600239,HHF9_600239,61.0,M
F9_600243,HHF9_600243,71.0,F
F9_600245,HHF9_600245,44.0,F
F9_600246,HHF9_600246,41.0,M
F9_600252,HHF9_600252,53.0,F
F9_600257,HHF9_600257,70.0,M
F9_600260,HHF9_600260,37.0,F
F9_600277,HHF9_600277,57.0,F
F9_600279,HHF9_600279,43.0,F
F9_600280,HHF9_600280,60.0,F
F9_600286,HHF9_600286,33.0,F
F9_600288,HHF9_600288,9.0,M
F9_600292,HHF9_600292,93.0,M
F9_600293,HHF9_600293,34.0,F
F9_600295,HHF9_600295,54.0,F
F9_600303,HHF9_600303,35.0,F
F9_600305,HHF9_600305,55.0,F
F9_600306,HHF9_600306,76.0,M
F9_600313,HHF9_600313,16.0,M
F9_600314,HHF9_600314,52.0,M
F9_600317,HHF9_600317,63.0,F
A8_10235,HHA8_10235,58.0,M
F9_600318,HHF9_600318,84.0,M
F9_600319,HHF9_600319,39.0,F
F9_600320,HHF9_600320,52.0,M
F9_600327,HHF9_600327,39.0,F
F9_600328,HHF9_600328,14.0,F
F9_600334,HHF9_600334,13.0,F
F9_600336,HHF9_600336,24.0,F
F9_600338,HHF9_600338,60.0,M
F9_600340,HHF9_600340,66.0,M
F9_600344,HHF9_600344,42.0,F
A8_10236,HHA8_10236,47.0,F
F9_600348,HHF9_600348,74.0,F
F9_600349,HHF9_600349,65.0,M
F9_600352,HHF9_600352,33.0,F
F9_600354,HHF9_600354,56.0,F
F9_600356,HHF9_600356,7.0,F
F9_600359,HHF9_600359,90.0,F
F9_600360,HHF9_600360,66.0,F
F9_600363,HHF9_600363,33.0,F
F9_600364,HHF9_600364,46.0,F
F9_600365,HHF9_600365,6.0,M
F9_600368,HHF9_600368,41.0,F
F9_600372,HHF9_600372,61.0,F
F9_600374,HHF9_600374,32.0,F
F9_600381,HHF9_600381,83.0,F
F9_600383,HHF9_600383,62.0,F
F9_600395,HHF9_600395,43.0,F
F9_600399,HHF9_600399,52.0,F
F9_600401,HHF9_600401,54.0,M
F9_600411,HHF9_600411,63.0,F
F9_600412,HHF9_600412,52.0,M
F9_600413,HHF9_600413,81.0,F
F9_600414,HHF9_600414,9.0,F
F9_600415,HHF9_600415,66.0,F
F9_600416,HHF9_600416,31.0,M
F9_600419,HHF9_600419,5.0,F
F9_600421,HHF9_600421,67.0,F
F9_600424,HHF9_600424,37.0,F
F9_600426,HHF9_600426,14.0,F
F9_600427,HHF9_600427,77.0,M
F9_600428,HHF9_600428,52.0,F
F9_600430,HHF9_600430,39.0,F
F9_600434,HHF9_600434,42.0,F
F9_600437,HHF9_600437,50.0,M
F9_600443,HHF9_600443,12.0,F
F9_600450,HHF9_600450,18.0,F
F9_600453,HHF9_600453,86.0,M
F9_600454,HHF9_600454,61.0,F
F9_600455,HHF9_600455,60.0,F
F9_600462,HHF9_600462,51.0,M
F9_600463,HHF9_600463,40.0,F
F9_600464,HHF9_600464,42.0,M
F9_600469,HHF9_600469,51.0,M
F9_600470,HHF9_600470,53.0,F
F9_600472,HHF9_600472,45.0,F
F9_600477,HHF9_600477,43.0,M
F9_600478,HHF9_600478,81.0,F
F9_600484,HHF9_600484,52.0,M
F9_600485,HHF9_600485,65.0,F
F9_600486,HHF9_600486,64.0,F
F9_600488,HHF9_600488,55.0,M
F9_600497,HHF9_600497,58.0,F
F9_600499,HHF9_600499,52.0,M
F9_600500,HHF9_600500,NA,F
F9_600501,HHF9_600501,85.0,F
F9_600502,HHF9_600502,56.0,F
F9_600503,HHF9_600503,52.0,F
F9_600507,HHF9_600507,67.0,F
F9_600510,HHF9_600510,64.0,F
F9_600513,HHF9_600513,2.0,F
F9_600517,HHF9_600517,54.0,M
F9_600518,HHF9_600518,44.0,F
F9_600519,HHF9_600519,55.0,F
F9_600520,HHF9_600520,57.0,M
F9_600522,HHF9_600522,63.0,F
F9_600523,HHF9_600523,45.0,M
F9_600524,HHF9_600524,55.0,F
F9_600527,HHF9_600527,60.0,M
F9_600528,HHF9_600528,91.0,F
F9_600531,HHF9_600531,51.0,M
F9_600535,HHF9_600535,17.0,M
F9_600538,HHF9_600538,37.0,F
F9_600543,HHF9_600543,40.0,F
F9_600546,HHF9_600546,43.0,F
F9_600548,HHF9_600548,33.0,F
F9_600551,HHF9_600551,31.0,NA
F9_600553,HHF9_600553,49.0,F
F9_600555,HHF9_600555,58.0,F
F9_600557,HHF9_600557,41.0,M
F9_600558,HHF9_600558,45.0,M
F9_600562,HHF9_600562,43.0,M
A8_10245,HHA8_10245,42.0,M
F9_600568,HHF9_600568,42.0,F
F9_600569,HHF9_600569,69.0,M
F9_600573,HHF9_600573,22.0,F
F9_600575,HHF9_600575,36.0,M
F9_600576,HHF9_600576,38.0,M
F9_600583,HHF9_600583,17.0,F
F9_600584,HHF9_600584,64.0,F
F9_600587,HHF9_600587,58.0,F
F9_600592,HHF9_600592,14.0,M
F9_600594,HHF9_600594,5.0,F
F9_600595,HHF9_600595,87.0,M
F9_600600,HHF9_600600,45.0,M
F9_600605,HHF9_600605,50.0,F
F9_600607,HHF9_600607,62.0,F
F9_600615,HHF9_600615,36.0,F
F9_600617,HHF9_600617,NA,M
F9_600621,HHF9_600621,35.0,F
F9_600623,HHF9_600623,11.0,F
F9_600626,HHF9_600626,NA,M
F9_600627,HHF9_600627,34.0,M
F9_600628,HHF9_600628,59.0,F
F9_600629,HHF9_600629,57.0,F
F9_600633,HHF9_600633,89.0,M
F9_600634,HHF9_600634,30.0,F
F9_600636,HHF9_600636,34.0,M
F9_600640,HHF9_600640,54.0,F
F9_600642,HHF9_600642,37.0,F
F9_600643,HHF9_600643,76.0,M
F9_600644,HHF9_600644,59.0,M
F9_600648,HHF9_600648,7.0,M
F9_600654,HHF9_600654,60.0,F
F9_600657,HHF9_600657,17.0,M
F9_600661,HHF9_600661,33.0,F
F9_600663,HHF9_600663,53.0,F
F9_600665,HHF9_600665,62.0,F
F9_600667,HHF9_600667,42.0,F
F9_600668,HHF9_600668,36.0,F
F9_600669,HHF9_600669,28.0,F
F9_600673,HHF9_600673,32.0,F
F9_600678,HHF9_600678,64.0,M
A8_10251,HHA8_10251,30.0,M
F9_600681,HHF9_600681,58.0,F
F9_600686,HHF9_600686,52.0,F
F9_600688,HHF9_600688,42.0,F
F9_600689,HHF9_600689,85.0,M
F9_600691,HHF9_600691,49.0,M
F9_600693,HHF9_600693,17.0,M
F9_600696,HHF9_600696,18.0,F
F9_600704,HHF9_600704,56.0,M
F9_600706,HHF9_600706,40.0,M
F9_600709,HHF9_600709,63.0,F
F9_600711,HHF9_600711,39.0,F
F9_600712,HHF9_600712,62.0,M
F9_600714,HHF9_600714,39.0,M
F9_600716,HHF9_600716,38.0,F
F9_600718,HHF9_600718,33.0,M
F9_600721,HHF9_600721,10.0,M
F9_600722,HHF9_600722,40.0,F
F9_600727,HHF9_600727,62.0,M
F9_600729,HHF9_600729,44.0,M
F9_600732,HHF9_600732,42.0,M
F9_600733,HHF9_600733,57.0,F
F9_600734,HHF9_600734,54.0,F
F9_600736,HHF9_600736,68.0,F
F9_600744,HHF9_600744,24.0,F
F9_600745,HHF9_600745,41.0,M
F9_600750,HHF9_600750,38.0,M
F9_600754,HHF9_600754,49.0,F
F9_600770,HHF9_600770,4.0,F
