part_id,cont_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,frequency_multi,phys_contact,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,duration_multi
10939301,109393001,NA,45,54,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10939301,109393002,NA,45,54,M,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10939301,109393003,NA,16,17,F,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10939401,109394001,NA,75,79,M,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10939401,109394002,NA,75,79,F,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,6
10939401,109394003,NA,45,54,F,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10939401,109394004,NA,25,34,F,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10939401,109394005,NA,45,54,M,1,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,5
10939401,109394006,NA,45,54,F,1,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,6
10939401,109394007,NA,45,54,F,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10939501,109395001,NA,55,64,M,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10939501,109395002,NA,55,64,F,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10939501,109395003,NA,25,34,F,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10939501,109395004,NA,80,84,F,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10939501,109395005,NA,35,44,M,2,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3
10939501,109395006,NA,55,64,F,4,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10939501,109395007,NA,45,54,F,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4
10939601,109396001,NA,25,34,M,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10939601,109396002,NA,25,34,F,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5
10939601,109396003,NA,0,17,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10939601,109396004,NA,0,17,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10939601,109396005,NA,0,17,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10939601,109396006,NA,0,17,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10939601,109396007,NA,0,17,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
10939601,109396008,NA,0,17,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
10939601,109396009,NA,0,17,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
10939601,109396010,NA,0,17,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
10939601,109396011,NA,0,17,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
10939601,109396012,NA,18,64,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10939601,109396013,NA,18,64,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10939601,109396014,NA,18,64,NA,NA,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5
10939601,109396015,NA,18,64,NA,NA,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,5
