part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cont_id
2028,58.0,58.0,58.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2028_outbreak_2
2029,56.0,56.0,56.0,NA,True,False,False,False,False,False,NA,1.0,2.0,2029_outbreak_1
2029,57.0,57.0,57.0,NA,True,False,False,False,False,False,NA,1.0,2.0,2029_outbreak_2
2029,40.0,40.0,40.0,NA,False,True,False,False,False,False,NA,1.0,3.0,2029_outbreak_3
2029,31.0,31.0,31.0,NA,False,True,False,False,False,False,NA,2.0,3.0,2029_outbreak_4
2029,28.0,28.0,28.0,NA,False,True,False,False,False,False,NA,2.0,3.0,2029_outbreak_5
2029,35.0,35.0,35.0,NA,False,False,False,True,False,False,NA,2.0,1.0,2029_outbreak_6
2030,35.0,35.0,35.0,NA,True,False,False,False,False,False,NA,1.0,NA,2030_outbreak_1
2031,40.0,40.0,40.0,NA,False,False,False,False,False,True,NA,2.0,NA,2031_outbreak_1
2032,32.0,32.0,32.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2032_outbreak_1
2032,5.0,5.0,5.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2032_outbreak_2
2032,60.0,60.0,60.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2032_outbreak_3
2033,74.0,74.0,74.0,NA,True,False,False,False,False,False,NA,2.0,3.0,2033_outbreak_1
2034,45.0,45.0,45.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2034_outbreak_1
2034,40.0,40.0,40.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2034_outbreak_2
2034,40.0,40.0,40.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2034_outbreak_3
2034,40.0,40.0,40.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2034_outbreak_4
2035,NA,0.0,90.0,NA,True,False,False,False,False,False,NA,1.0,NA,2035_outbreak_1
2036,30.0,30.0,30.0,NA,True,False,False,False,False,False,NA,2.0,NA,2036_outbreak_1
2037,44.0,44.0,44.0,NA,NA,NA,False,NA,NA,NA,NA,1.0,5.0,2037_outbreak_1
2037,19.0,19.0,19.0,NA,NA,NA,False,NA,NA,NA,NA,1.0,4.0,2037_outbreak_2
2037,50.0,50.0,50.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2037_outbreak_3
2037,65.0,65.0,65.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2037_outbreak_4
2037,55.0,55.0,55.0,NA,NA,NA,False,NA,NA,NA,NA,2.0,NA,2037_outbreak_5
2038,60.0,60.0,60.0,NA,False,False,False,False,False,True,NA,2.0,1.0,2038_outbreak_1
2038,72.0,72.0,72.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2038_outbreak_2
2039,NA,0.0,90.0,NA,False,False,False,False,False,True,NA,NA,NA,2039_outbreak_1
2040,10.0,10.0,10.0,NA,True,False,False,False,False,False,NA,1.0,NA,2040_outbreak_1
2040,36.0,36.0,36.0,NA,True,False,False,False,False,False,NA,1.0,NA,2040_outbreak_2
2041,40.0,40.0,40.0,NA,True,False,False,False,False,False,NA,1.0,1.0,2041_outbreak_1
2041,2.0,2.0,2.0,NA,True,False,False,False,False,False,NA,1.0,2.0,2041_outbreak_2
2042,5.0,5.0,5.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2042_outbreak_1
2042,35.0,35.0,35.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2042_outbreak_2
2042,65.0,65.0,65.0,NA,True,False,False,False,False,False,NA,2.0,1.0,2042_outbreak_3
2042,64.0,64.0,64.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2042_outbreak_4
2043,NA,0.0,90.0,NA,True,False,False,False,False,False,NA,2.0,5.0,2043_outbreak_1
2043,NA,0.0,90.0,NA,True,False,False,False,False,False,NA,2.0,4.0,2043_outbreak_2
2043,NA,0.0,90.0,NA,True,False,False,False,False,False,NA,2.0,4.0,2043_outbreak_3
2043,NA,0.0,90.0,NA,True,False,False,False,False,False,NA,2.0,4.0,2043_outbreak_4
2043,NA,0.0,90.0,NA,True,False,False,False,False,False,NA,2.0,4.0,2043_outbreak_5
2044,57.0,57.0,57.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2044_outbreak_1
2045,32.0,32.0,32.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2045_outbreak_1
2045,3.0,3.0,3.0,NA,True,False,False,False,False,False,NA,1.0,4.0,2045_outbreak_2
2045,66.0,66.0,66.0,NA,True,False,False,False,False,False,NA,2.0,4.0,2045_outbreak_3
2046,NA,25.0,29.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2046_outbreak_1
2046,5.0,5.0,5.0,NA,True,False,False,False,False,False,NA,1.0,3.0,2046_outbreak_2
2046,NA,50.0,60.0,NA,True,False,False,False,False,False,NA,2.0,4.0,2046_outbreak_3
2046,NA,50.0,60.0,NA,True,False,False,False,False,False,NA,2.0,4.0,2046_outbreak_4
2047,44.0,44.0,44.0,NA,True,False,False,False,False,False,NA,1.0,5.0,2047_outbreak_1
2047,33.0,33.0,33.0,NA,True,False,False,False,False,False,NA,2.0,5.0,2047_outbreak_2
