"[0,5)"	"[5,10)"	"[10,15)"	"[15,20)"	"[20,25)"	"[25,30)"	"[30,35)"	"[35,40)"	"[40,45)"	"[45,50)"	"[50,55)"	"[55,60)"	"[60,65)"	"[65,70)"	"70+"
"[0,5)"	0.0400210995380268	0.0416328268027751	0.0375435041461331	0.0208582506156895	0.00248144077538381	0.00271820702553092	0.0029328637976992	0.00282743215962771	0.00266446557734319	0.00158275311968388	0.00173540280675522	0.00124787708770235	0.00144170773572461	0.000246521667851155	0.000205116233870886
"[5,10)"	0.0416328268027751	0.0958048844472302	0.0783529492710258	0.0350919963779141	0.00236460861415873	0.00294125572715299	0.0029996119126651	0.00403334365324325	0.00348673121140195	0.00261648036503822	0.00252454185511271	0.0020679244324655	0.00192696235242869	0.000446447920115063	0.000379307222030726
"[10,15)"	0.0375435041461331	0.0783529492710258	0.0809044042013752	0.0459617444298834	0.00244443449848648	0.00267568548854614	0.00248910000567031	0.0033561289241747	0.00321372091434481	0.0025916660922232	0.00245633402893516	0.00209473772327518	0.00205270748779398	0.000480317670070327	0.000448884366277628
"[15,20)"	0.0208582506156895	0.0350919963779141	0.0459617444298834	0.029615099534886	0.00282122770209172	0.00280486204054619	0.00164078090999416	0.00198761722566245	0.00194013766886362	0.00185240903313225	0.00182782846595228	0.00156878512395366	0.00156231455007407	0.000504200151262427	0.000427339319250187
"[20,25)"	0.00248144077538381	0.00236460861415873	0.00244443449848648	0.00282122770209172	0.00226894933237682	0.00185863374220784	0.00101506531969805	0.000960790357504745	0.00072100143980313	0.000711056920618942	0.000616929997641534	0.000685600831378471	0.000735456114531751	0.000423668006362693	0.000416835619185078
"[25,30)"	0.00271820702553092	0.00294125572715299	0.00267568548854614	0.00280486204054619	0.00185863374220784	0.00143019656532039	0.00105116773049387	0.00105577405872225	0.000876130902526524	0.000746870095662548	0.00068957554073511	0.00076205432630079	0.000807097069743343	0.000425598006092291	0.000412147790698705
"[30,35)"	0.0029328637976992	0.0029996119126651	0.00248910000567031	0.00164078090999416	0.00101506531969805	0.00105116773049387	0.000712027855061747	0.000626446462901325	0.000476224019254083	0.000359296971355402	0.000324084174077854	0.000241660805869536	0.000275643823410721	0.000158255856767985	0.000189531988755519
"[35,40)"	0.00282743215962771	0.00403334365324325	0.0033561289241747	0.00198761722566245	0.000960790357504744	0.00105577405872225	0.000626446462901324	0.000735848521280201	0.000624746966758871	0.000441234323615829	0.000330751912253813	0.00032955090935263	0.000253909291386038	0.000238266064758759	0.00022918623963305
"[40,45)"	0.00266446557734319	0.00348673121140195	0.00321372091434481	0.00194013766886362	0.000721001439803129	0.000876130902526524	0.000476224019254083	0.000624746966758871	0.000537010778367301	0.000389082113614404	0.000319352667243217	0.000260106658736895	0.000261458483107557	0.000161872733631544	0.000171936667484842
"[45,50)"	0.00158275311968388	0.00261648036503822	0.0025916660922232	0.00185240903313225	0.000711056920618942	0.000746870095662548	0.000359296971355402	0.000441234323615829	0.000389082113614404	0.000318016348286987	0.000329812486338028	0.000251806782107892	0.000227081147473063	0.000133512167160067	0.000136383856021475
"[50,55)"	0.00173540280675522	0.00252454185511271	0.00245633402893516	0.00182782846595228	0.000616929997641534	0.00068957554073511	0.000324084174077854	0.000330751912253813	0.000319352667243217	0.000329812486338028	0.000277794655600918	0.000240957596361174	0.00022838918271243	0.000123172492245294	0.000152297343209549
"[55,60)"	0.00124787708770235	0.0020679244324655	0.00209473772327518	0.00156878512395366	0.000685600831378471	0.00076205432630079	0.000241660805869536	0.000329550909352631	0.000260106658736895	0.000251806782107892	0.000240957596361174	0.000213241957997013	0.000200873385683145	0.000171129088682241	0.000168848641735719
"[60,65)"	0.00144170773572461	0.00192696235242869	0.00205270748779398	0.00156231455007407	0.000735456114531751	0.000807097069743343	0.000275643823410721	0.000253909291386038	0.000261458483107557	0.000227081147473063	0.00022838918271243	0.000200873385683145	0.000165006978780729	0.000207384183453816	0.000218624338161595
"[65,70)"	0.000246521667851155	0.000446447920115063	0.000480317670070328	0.000504200151262427	0.000423668006362693	0.000425598006092291	0.000158255856767985	0.000238266064758759	0.000161872733631544	0.000133512167160067	0.000123172492245294	0.000171129088682241	0.000207384183453816	0.000244354295109816	0.000225903359513557
"70+"	0.000205116233870886	0.000379307222030726	0.000448884366277628	0.000427339319250187	0.000416835619185078	0.000412147790698705	0.000189531988755519	0.00022918623963305	0.000171936667484842	0.000136383856021475	0.000152297343209549	0.000168848641735719	0.000218624338161595	0.000225903359513557	0.000344618306851187
