"part_id","hh_id","part_age","part_gender"
1,"Mo08HH1",10,"F"
2,"Mo08HH2",10,"M"
3,"Mo08HH3",4,"F"
4,"Mo08HH4",3,"M"
5,"Mo08HH5",4,"M"
6,"Mo08HH6",11,"M"
7,"Mo08HH7",4,"M"
8,"Mo08HH8",6,"M"
9,"Mo08HH9",1,"M"
10,"Mo08HH10",2,"F"
11,"Mo08HH11",3,"M"
12,"Mo08HH12",2,"F"
13,"Mo08HH13",6,"M"
14,"Mo08HH14",2,"M"
15,"Mo08HH15",2,"F"
16,"Mo08HH16",11,"M"
17,"Mo08HH17",8,"M"
18,"Mo08HH18",1,"F"
19,"Mo08HH19",1,"M"
20,"Mo08HH20",2,"M"
21,"Mo08HH21",0,"F"
22,"Mo08HH22",4,"M"
23,"Mo08HH23",10,"F"
24,"Mo08HH24",10,"M"
25,"Mo08HH25",9,"M"
26,"Mo08HH26",6,"M"
27,"Mo08HH27",10,"F"
28,"Mo08HH28",11,"F"
29,"Mo08HH29",6,"M"
30,"Mo08HH30",7,"M"
31,"Mo08HH31",2,"F"
32,"Mo08HH32",1,"M"
33,"Mo08HH33",7,"M"
34,"Mo08HH34",1,"M"
35,"Mo08HH35",4,"F"
36,"Mo08HH36",6,"M"
37,"Mo08HH37",14,"M"
38,"Mo08HH38",10,"F"
39,"Mo08HH39",15,"M"
40,"Mo08HH40",6,"F"
41,"Mo08HH41",8,"M"
42,"Mo08HH42",17,"F"
43,"Mo08HH43",10,"M"
44,"Mo08HH44",17,"F"
45,"Mo08HH45",15,"M"
46,"Mo08HH46",16,"F"
47,"Mo08HH47",14,"F"
48,"Mo08HH48",16,"M"
49,"Mo08HH49",14,"M"
50,"Mo08HH50",11,"M"
51,"Mo08HH51",11,"M"
52,"Mo08HH52",17,"F"
53,"Mo08HH53",9,"M"
54,"Mo08HH54",15,"F"
55,"Mo08HH55",13,"M"
56,"Mo08HH56",16,"F"
57,"Mo08HH57",8,"F"
58,"Mo08HH58",16,"F"
59,"Mo08HH59",17,"M"
60,"Mo08HH60",14,"M"
61,"Mo08HH61",16,"F"
62,"Mo08HH62",16,"M"
63,"Mo08HH63",13,"M"
64,"Mo08HH64",13,"F"
65,"Mo08HH65",17,"M"
66,"Mo08HH66",12,"F"
67,"Mo08HH67",13,"F"
68,"Mo08HH68",13,"F"
69,"Mo08HH69",14,"M"
70,"Mo08HH70",17,"F"
71,"Mo08HH71",17,"F"
72,"Mo08HH72",15,"F"
73,"Mo08HH73",6,"F"
74,"Mo08HH74",14,"M"
75,"Mo08HH75",15,"M"
76,"Mo08HH76",11,"F"
77,"Mo08HH77",13,"F"
78,"Mo08HH78",5,"F"
79,"Mo08HH79",17,"M"
80,"Mo08HH80",17,"M"
81,"Mo08HH81",5,"M"
82,"Mo08HH82",13,"M"
83,"Mo08HH83",5,"M"
84,"Mo08HH84",14,"M"
85,"Mo08HH85",NA,""
86,"Mo08HH86",14,"F"
87,"Mo08HH87",10,"M"
88,"Mo08HH88",17,"M"
89,"Mo08HH89",12,"M"
90,"Mo08HH90",13,"F"
91,"Mo08HH91",16,"M"
92,"Mo08HH92",8,"M"
93,"Mo08HH93",5,"F"
94,"Mo08HH94",4,"F"
95,"Mo08HH95",3,"M"
96,"Mo08HH96",6,"F"
97,"Mo08HH97",1,"M"
98,"Mo08HH98",11,"F"
99,"Mo08HH99",2,"F"
100,"Mo08HH100",9,"M"
101,"Mo08HH101",4,"F"
102,"Mo08HH102",2,"M"
103,"Mo08HH103",3,"M"
104,"Mo08HH104",7,"M"
105,"Mo08HH105",7,"M"
106,"Mo08HH106",6,"M"
107,"Mo08HH107",9,"F"
108,"Mo08HH108",2,"M"
109,"Mo08HH109",11,"M"
110,"Mo08HH110",4,"M"
