,4,5,6,7,8
1,1.00,1.00,1.00,1.00,1.00
2,1.00,1.00,1.00,1.00,1.00
3,1.00,1.00,1.00,1.00,1.00
4,0.89,1.00,1.00,1.00,1.00
5,1.00,1.00,1.00,1.00,1.00
6,1.00,1.00,1.00,1.00,1.00
7,0.76,0.89,0.87,0.87,0.75
8,1.00,1.00,1.00,0.84,1.00
