"part_id","hh_id","part_age","part_gender"
1,"Mo08HH1",5,"F"
2,"Mo08HH2",8,"M"
3,"Mo08HH3",2,"F"
4,"Mo08HH4",1,"M"
5,"Mo08HH5",3,"M"
6,"Mo08HH6",11,"M"
7,"Mo08HH7",2,"M"
8,"Mo08HH8",7,"M"
9,"Mo08HH9",1,"M"
10,"Mo08HH10",4,"F"
11,"Mo08HH11",2,"M"
12,"Mo08HH12",3,"F"
13,"Mo08HH13",8,"M"
14,"Mo08HH14",3,"M"
15,"Mo08HH15",4,"F"
16,"Mo08HH16",11,"M"
17,"Mo08HH17",9,"M"
18,"Mo08HH18",4,"F"
19,"Mo08HH19",1,"M"
20,"Mo08HH20",4,"M"
21,"Mo08HH21",2,"F"
22,"Mo08HH22",2,"M"
23,"Mo08HH23",6,"F"
24,"Mo08HH24",6,"M"
25,"Mo08HH25",10,"M"
26,"Mo08HH26",5,"M"
27,"Mo08HH27",10,"F"
28,"Mo08HH28",7,"F"
29,"Mo08HH29",11,"M"
30,"Mo08HH30",8,"M"
31,"Mo08HH31",4,"F"
32,"Mo08HH32",0,"M"
33,"Mo08HH33",11,"M"
34,"Mo08HH34",0,"M"
35,"Mo08HH35",0,"F"
36,"Mo08HH36",6,"M"
37,"Mo08HH37",12,"M"
38,"Mo08HH38",11,"F"
39,"Mo08HH39",12,"M"
40,"Mo08HH40",10,"F"
41,"Mo08HH41",9,"M"
42,"Mo08HH42",16,"F"
43,"Mo08HH43",9,"M"
44,"Mo08HH44",12,"F"
45,"Mo08HH45",13,"M"
46,"Mo08HH46",17,"F"
47,"Mo08HH47",13,"F"
48,"Mo08HH48",12,"M"
49,"Mo08HH49",14,"M"
50,"Mo08HH50",7,"M"
51,"Mo08HH51",9,"M"
52,"Mo08HH52",15,"F"
53,"Mo08HH53",8,"M"
54,"Mo08HH54",13,"F"
55,"Mo08HH55",15,"M"
56,"Mo08HH56",14,"F"
57,"Mo08HH57",8,"F"
58,"Mo08HH58",16,"F"
59,"Mo08HH59",16,"M"
60,"Mo08HH60",16,"M"
61,"Mo08HH61",14,"F"
62,"Mo08HH62",14,"M"
63,"Mo08HH63",15,"M"
64,"Mo08HH64",15,"F"
65,"Mo08HH65",15,"M"
66,"Mo08HH66",14,"F"
67,"Mo08HH67",14,"F"
68,"Mo08HH68",13,"F"
69,"Mo08HH69",16,"M"
70,"Mo08HH70",12,"F"
71,"Mo08HH71",14,"F"
72,"Mo08HH72",17,"F"
73,"Mo08HH73",7,"F"
74,"Mo08HH74",13,"M"
75,"Mo08HH75",12,"M"
76,"Mo08HH76",5,"F"
77,"Mo08HH77",17,"F"
78,"Mo08HH78",6,"F"
79,"Mo08HH79",17,"M"
80,"Mo08HH80",14,"M"
81,"Mo08HH81",11,"M"
82,"Mo08HH82",13,"M"
83,"Mo08HH83",10,"M"
